,method
0,Radial Velocity
1,Transit
2,Transit
3,Radial Velocity
4,Radial Velocity
5,Radial Velocity
6,others
7,Radial Velocity
8,Radial Velocity
9,Radial Velocity
10,Radial Velocity
11,Transit
12,Radial Velocity
13,Transit
14,Radial Velocity
15,Radial Velocity
16,Transit
17,Radial Velocity
18,Radial Velocity
19,Radial Velocity
20,Radial Velocity
21,Transit
22,Radial Velocity
23,Radial Velocity
24,Radial Velocity
25,Radial Velocity
26,Radial Velocity
27,Transit
28,Transit
29,Radial Velocity
30,Radial Velocity
31,Radial Velocity
32,Transit
33,Transit
34,Radial Velocity
35,Radial Velocity
36,Radial Velocity
37,Radial Velocity
38,Transit
39,Transit
40,Transit
41,Radial Velocity
42,Radial Velocity
43,Radial Velocity
44,Radial Velocity
45,Radial Velocity
46,Radial Velocity
47,Radial Velocity
48,Radial Velocity
49,Radial Velocity
50,Radial Velocity
51,Radial Velocity
52,Radial Velocity
53,Radial Velocity
54,Radial Velocity
55,Radial Velocity
56,Transit
57,Transit
58,Transit
59,Radial Velocity
60,Radial Velocity
61,Radial Velocity
62,Radial Velocity
63,Radial Velocity
64,Radial Velocity
65,Transit
66,Transit
67,Transit
68,Radial Velocity
69,Radial Velocity
70,Transit
71,Radial Velocity
72,Radial Velocity
73,Radial Velocity
74,Radial Velocity
75,Radial Velocity
76,Radial Velocity
77,Radial Velocity
78,Radial Velocity
79,Radial Velocity
80,Transit
81,Radial Velocity
82,Transit
83,Radial Velocity
84,Transit
85,Radial Velocity
86,Transit
87,Radial Velocity
88,Radial Velocity
89,Transit
90,Transit
91,Transit
92,Transit
93,Radial Velocity
94,Radial Velocity
95,Radial Velocity
96,Radial Velocity
97,Radial Velocity
98,Transit
99,Transit
100,Radial Velocity
101,Radial Velocity
102,Radial Velocity
103,Transit
104,Radial Velocity
105,Radial Velocity
106,Radial Velocity
107,Radial Velocity
108,Transit
109,Transit
110,Radial Velocity
111,Radial Velocity
112,Radial Velocity
113,Radial Velocity
114,Radial Velocity
115,Radial Velocity
116,Radial Velocity
117,Radial Velocity
118,Transit
119,Radial Velocity
120,Radial Velocity
121,Transit
122,Transit
123,Transit
124,Radial Velocity
125,Radial Velocity
126,Radial Velocity
127,Radial Velocity
128,Transit
129,Radial Velocity
130,Radial Velocity
131,Radial Velocity
132,others
133,Radial Velocity
134,Radial Velocity
135,Radial Velocity
136,Radial Velocity
137,Radial Velocity
138,Radial Velocity
139,Radial Velocity
140,Radial Velocity
141,Radial Velocity
142,Radial Velocity
143,Radial Velocity
144,Transit
145,others
146,Radial Velocity
147,Transit
148,Radial Velocity
149,Radial Velocity
150,Radial Velocity
151,Radial Velocity
152,Radial Velocity
153,Transit
154,Radial Velocity
155,Radial Velocity
156,Radial Velocity
157,Radial Velocity
158,Radial Velocity
159,Radial Velocity
160,Radial Velocity
161,Radial Velocity
162,Transit
163,Transit
164,others
165,Transit
166,Transit
167,Transit
168,Transit
169,Radial Velocity
170,others
171,Radial Velocity
172,Radial Velocity
173,Radial Velocity
174,Radial Velocity
175,Radial Velocity
176,Transit
177,Radial Velocity
178,Radial Velocity
179,Radial Velocity
180,Radial Velocity
181,Radial Velocity
182,others
183,Radial Velocity
184,Transit
185,Radial Velocity
186,Transit
187,Radial Velocity
188,Radial Velocity
189,Radial Velocity
190,Transit
191,Radial Velocity
192,Radial Velocity
193,Radial Velocity
194,Radial Velocity
195,Transit
196,Radial Velocity
197,Transit
198,Transit
199,Radial Velocity
200,Transit
201,Radial Velocity
202,Transit
203,others
204,Transit
205,Radial Velocity
206,Radial Velocity
207,Radial Velocity
208,Transit
209,Radial Velocity
210,Radial Velocity
211,Transit
212,Transit
213,Radial Velocity
214,Radial Velocity
215,Radial Velocity
216,Transit
217,Radial Velocity
218,Transit
219,Radial Velocity
220,Radial Velocity
221,Transit
222,Radial Velocity
223,Transit
224,Radial Velocity
225,Radial Velocity
226,Radial Velocity
227,Radial Velocity
228,Radial Velocity
229,Radial Velocity
230,Radial Velocity
231,Radial Velocity
232,Radial Velocity
233,Transit
234,Radial Velocity
235,Radial Velocity
236,Transit
237,Transit
238,Radial Velocity
239,Radial Velocity
240,Radial Velocity
241,Radial Velocity
242,Radial Velocity
243,Transit
244,Radial Velocity
245,Transit
246,Radial Velocity
247,Radial Velocity
248,Radial Velocity
249,Transit
250,Radial Velocity
251,Radial Velocity
252,Transit
253,Transit
254,Radial Velocity
255,Radial Velocity
256,Transit
257,Radial Velocity
258,Transit
259,Radial Velocity
260,Radial Velocity
261,Transit
262,Transit
263,Radial Velocity
264,Radial Velocity
265,Radial Velocity
266,Radial Velocity
267,Radial Velocity
268,Radial Velocity
269,Radial Velocity
270,Radial Velocity
271,Radial Velocity
272,Radial Velocity
273,Radial Velocity
274,Radial Velocity
275,Radial Velocity
276,Radial Velocity
277,Radial Velocity
278,Radial Velocity
279,Radial Velocity
280,Radial Velocity
281,Radial Velocity
282,Radial Velocity
283,Transit
284,Radial Velocity
